timestamps(s),penetration_AV,flow(veh/hr),speed(mph)
20.0,0.0,0.0,-0.621504039776
40.0,0.0,0.0,-0.621504039776
60.0,0.0,0.0,-0.621504039776
80.0,0.0,0.0,-0.621504039776
100.0,0.0,0.0,-0.621504039776
120.0,0.0,0.0,-0.621504039776
140.0,0.0,0.0,-0.621504039776
160.0,0.0,360.0,71.6502870003
180.0,0.0,720.0,70.927927823
200.0,0.0,2700.0,64.8409144055
220.0,0.0,2520.0,53.984374131
240.0,0.0,3060.0,45.8295639044
260.0,0.0,3060.0,31.4995647937
280.0,0.0,1800.0,14.6681796039
300.0,0.0,360.0,0.624587991855
320.0,0.0,360.0,0.624234722069
340.0,0.0,360.0,0.611977761702
360.0,0.0,360.0,0.611771753199
380.0,0.0,360.0,0.611771557862
400.0,0.0,360.0,0.611771557918
420.0,0.0,360.0,0.611771557918
440.0,0.0,360.0,0.611771557918
460.0,0.0,360.0,0.611771557918
480.0,0.0,360.0,0.611771557918
500.0,0.0,360.0,0.60401968517
520.0,0.0,360.0,0.583085082638
540.0,0.0,360.0,0.583072764362
560.0,0.0,360.0,0.583072764805
580.0,0.0,360.0,0.583072764805
600.0,0.0,360.0,0.58307276481
620.0,0.0,360.0,0.58307276481
640.0,0.0,360.0,0.577693342566
660.0,0.0,360.0,0.577681540288
680.0,0.0,360.0,0.57768154096
700.0,0.0,360.0,0.578320367469
720.0,0.0,360.0,0.589311804682
740.0,0.0,360.0,0.590133180767
760.0,0.0,360.0,0.590159939545
780.0,0.0,360.0,0.590159903252
800.0,0.0,360.0,0.590159903232
820.0,0.0,360.0,0.590159903227
840.0,0.0,360.0,0.590159903232
860.0,0.0,360.0,0.590159903232
880.0,0.0,360.0,0.590159903232
900.0,0.0,540.0,0.599179959528
920.0,0.0,180.0,0.61722007212
940.0,0.0,360.0,0.590690016098
960.0,0.0,360.0,0.601290307576
980.0,0.0,360.0,0.601049389446
1000.0,0.0,360.0,0.604137468259
1020.0,0.0,360.0,0.603382096593
1040.0,0.0,360.0,0.603796970505
1060.0,0.0,360.0,0.603797017074
1080.0,0.0,360.0,0.608107839807
1100.0,0.0,360.0,0.615495098434
1120.0,0.0,360.0,0.615032641098
1140.0,0.0,360.0,0.615033125007
1160.0,0.0,360.0,0.61155661405
1180.0,0.0,360.0,0.611236877595
1200.0,0.0,360.0,0.611236761706
1220.0,0.0,540.0,0.903985436252
1240.0,0.0,1620.0,6.11712369153
1260.0,0.0,3060.0,9.92501908332
1280.0,0.0,3240.0,10.5661008473
1300.0,0.0,3240.0,10.6781009171
1320.0,0.545454545455,3960.0,10.5431075176
1340.0,0.409090909091,3960.0,10.7617548032
1360.0,0.608695652174,4140.0,10.4454514823
1380.0,0.652173913043,4140.0,10.1913405096
1400.0,0.454545454545,3960.0,10.6486094573
1420.0,0.666666666667,4320.0,10.7801982523
1440.0,0.814814814815,4860.0,11.0777038467
1460.0,0.521739130435,4140.0,11.0054074458
1480.0,0.583333333333,4320.0,10.8304812277
1500.0,0.380952380952,3780.0,10.811602947
1520.0,0.608695652174,4140.0,10.388712603
1540.0,0.708333333333,4320.0,10.7251172868
1560.0,0.478260869565,4140.0,10.901683213
1580.0,0.608695652174,4140.0,10.5462386188
1600.0,0.814814814815,4860.0,11.0890379638
1620.0,0.827586206897,5220.0,11.716844859
1640.0,0.541666666667,4320.0,11.5602387405
1660.0,0.692307692308,4680.0,11.3267468938
1680.0,0.857142857143,5040.0,11.1418365792
1700.0,0.68,4500.0,11.1847829676
1720.0,0.777777777778,4860.0,11.1120395704
1740.0,0.380952380952,3780.0,10.8947331341
1760.0,0.625,4320.0,10.9960335872
1780.0,0.666666666667,4320.0,10.8431534296
1800.0,0.892857142857,5040.0,10.7158004481
1820.0,0.966666666667,5400.0,11.2688736066
1840.0,0.740740740741,4860.0,11.5425458512
1860.0,0.892857142857,5040.0,11.7869187188
1880.0,0.793103448276,5220.0,11.6446956544
1900.0,0.851851851852,4860.0,11.3819834144
1920.0,1.0,5580.0,11.4343993441
1940.0,1.0,5760.0,11.6867822229
1960.0,1.0,5940.0,12.2934281104
1980.0,1.0,5940.0,12.305694629
2000.0,1.0,5940.0,12.3057795831
2020.0,1.0,5940.0,12.3057799847
2040.0,1.0,5940.0,12.3057799876
2060.0,1.0,6120.0,12.3057799876
2080.0,1.0,5760.0,12.3057799876
2100.0,1.0,6120.0,12.3057799876
2120.0,1.0,5760.0,12.3057799876
2140.0,0.969696969697,5940.0,12.3057799876
2160.0,1.0,5940.0,12.3057799876
2180.0,1.0,5940.0,12.3057799876
2200.0,1.0,5940.0,12.3057799876
2220.0,1.0,6120.0,12.3057799876
2240.0,1.0,5760.0,12.3057799876
2260.0,1.0,6120.0,12.3057799876
2280.0,1.0,5760.0,12.3057799876
2300.0,1.0,6120.0,12.3057799876
2320.0,1.0,5940.0,12.3057799876
2340.0,1.0,5940.0,12.3057799876
2360.0,1.0,5940.0,12.3057799876
2380.0,0.793103448276,5220.0,12.2921212279
2400.0,0.814814814815,4860.0,11.9430626587
2420.0,0.823529411765,6120.0,16.2063319553
2440.0,0.783783783784,6660.0,20.9798166464
2460.0,0.269230769231,4680.0,23.3813976937
2480.0,0.516129032258,5580.0,26.5854847344
2500.0,0.59375,5760.0,30.1108115509
2520.0,0.448275862069,5220.0,31.5763164528
2540.0,0.269230769231,4680.0,33.9866256996
2560.0,0.37037037037,4860.0,36.0428576089
2580.0,0.269230769231,4680.0,37.2986036239
2600.0,0.516129032258,5580.0,38.4925525194
2620.0,0.548387096774,5580.0,39.9251934016
2640.0,0.588235294118,6120.0,41.2235812811
2660.0,0.5,5400.0,41.4154542508
