timestamps(s),penetration_AV,flow(veh/hr),speed(mph)
20.0,0.0,2700.0,69.9270117088
40.0,0.0,3060.0,71.7779632435
60.0,0.0,2880.0,71.9136196149
80.0,0.0,3240.0,67.6941127661
100.0,0.0,2880.0,71.3248668068
120.0,0.0,3240.0,72.2414045991
140.0,0.0,2880.0,73.4310547872
160.0,0.0,2880.0,73.5882044079
180.0,0.0,2880.0,72.9413654144
200.0,0.0,3240.0,72.5341567099
220.0,0.0,2880.0,69.1881993825
240.0,0.0,2880.0,73.2347380668
260.0,0.0,3240.0,73.3520098757
280.0,0.0,2880.0,70.6131698268
300.0,0.0,3060.0,69.1984322249
320.0,0.6,3600.0,65.3818116347
340.0,0.578947368421,3420.0,71.2726015101
360.0,0.526315789474,3420.0,68.2577706563
380.0,0.6,3600.0,69.5970586906
400.0,0.619047619048,3780.0,67.4527240071
420.0,0.619047619048,3780.0,70.9823795207
440.0,0.578947368421,3420.0,70.5778681536
460.0,0.636363636364,3960.0,64.591384806
480.0,0.619047619048,3780.0,68.3945696977
500.0,0.52380952381,3780.0,68.5787510991
520.0,0.55,3600.0,68.1765303684
540.0,0.555555555556,3240.0,71.6510042719
560.0,0.555555555556,3240.0,65.9178169929
580.0,0.636363636364,3960.0,74.1634946608
600.0,0.473684210526,3420.0,69.606620282
620.0,0.695652173913,4140.0,71.8987428479
640.0,0.727272727273,3960.0,74.0557628876
660.0,0.695652173913,4140.0,67.8393052667
680.0,0.727272727273,3960.0,74.5202136827
700.0,0.68,4500.0,73.9801141177
720.0,0.714285714286,3780.0,70.9685618906
740.0,0.666666666667,4320.0,75.1440512058
760.0,0.7,3600.0,68.988143611
780.0,0.727272727273,3960.0,74.5869770308
800.0,0.681818181818,3960.0,71.7809387041
820.0,0.7,3600.0,70.9961133546
840.0,0.666666666667,4320.0,70.7030017685
860.0,0.761904761905,3780.0,74.7951677148
880.0,0.666666666667,3780.0,70.0094400494
900.0,0.681818181818,3960.0,73.0716599196
920.0,1.0,5580.0,73.7370800236
940.0,1.0,6300.0,77.0135586247
960.0,1.0,6120.0,77.0136730889
980.0,1.0,5940.0,76.3749158165
1000.0,1.0,5940.0,76.893017165
1020.0,1.0,6120.0,77.0136730889
1040.0,1.0,5760.0,76.0528376252
1060.0,1.0,5940.0,76.5365189726
1080.0,1.0,6120.0,77.0136730889
1100.0,1.0,6120.0,77.0136730889
1120.0,1.0,5760.0,76.6430692057
1140.0,1.0,5940.0,76.59299322
1160.0,0.96875,5760.0,69.9794594804
1180.0,1.0,5580.0,75.6793013621
1200.0,1.0,5940.0,76.7200120136
1220.0,1.0,5400.0,76.3805475702
1240.0,1.0,5400.0,77.0136730889
1260.0,1.0,5220.0,77.0136730889
1280.0,1.0,5220.0,77.0136730889
1300.0,1.0,5400.0,77.0136730889
1320.0,1.0,5220.0,77.0136730889
1340.0,1.0,5400.0,77.0136730889
1360.0,1.0,5220.0,77.0136730889
1380.0,1.0,5220.0,77.0136730889
1400.0,1.0,5400.0,77.0136730889
1420.0,1.0,5220.0,77.0136730889
1440.0,1.0,5400.0,77.0136730889
1460.0,1.0,5220.0,77.0136730889
1480.0,1.0,5220.0,77.0136730889
1500.0,1.0,5400.0,77.0136730889
1520.0,0.388888888889,3240.0,72.0757632645
1540.0,0.45,3600.0,69.9503744782
1560.0,0.52380952381,3780.0,64.9004278575
1580.0,0.421052631579,3420.0,69.0975558136
1600.0,0.388888888889,3240.0,67.2439732144
1620.0,0.45,3600.0,64.5462477896
1640.0,0.352941176471,3060.0,72.0534771199
1660.0,0.368421052632,3420.0,70.4486191113
1680.0,0.791666666667,4320.0,67.4312158022
1700.0,0.352941176471,3060.0,64.7077891918
1720.0,0.210526315789,3420.0,65.4607690391
1740.0,0.35,3600.0,72.9309363657
1760.0,0.263157894737,3420.0,68.1739062351
1780.0,0.263157894737,3420.0,66.1371711931
1800.0,0.352941176471,3060.0,68.2209558516
1820.0,0.590909090909,3960.0,72.5589519919
1840.0,0.631578947368,3420.0,70.7354586244
1860.0,0.631578947368,3420.0,72.6043297415
1880.0,0.636363636364,3960.0,66.918047905
1900.0,0.555555555556,3240.0,72.996393222
1920.0,0.571428571429,3780.0,69.7402443922
1940.0,0.666666666667,3780.0,67.39497074
1960.0,0.666666666667,3240.0,66.0893275956
1980.0,0.571428571429,3780.0,65.4482158759
2000.0,0.5,3600.0,71.2088954097
2020.0,0.619047619048,3780.0,65.5426106486
2040.0,0.55,3600.0,70.3105070867
2060.0,0.625,4320.0,73.816435953
2080.0,0.611111111111,3240.0,67.9229014006
2100.0,0.65,3600.0,69.380362635
2120.0,0.925925925926,4860.0,73.8427557762
2140.0,1.0,5220.0,77.0136730889
2160.0,1.0,5220.0,77.0136730889
2180.0,1.0,5400.0,77.0136730889
2200.0,1.0,5220.0,77.0136730889
2220.0,1.0,5400.0,77.0136730889
2240.0,1.0,5220.0,77.0136730889
2260.0,1.0,5400.0,77.0136730889
2280.0,1.0,5220.0,77.0136730889
2300.0,1.0,5400.0,77.0136730889
2320.0,1.0,5040.0,76.7921283132
2340.0,1.0,5400.0,77.0136730889
2360.0,1.0,5220.0,77.0136730889
2380.0,1.0,5400.0,77.0136730889
2400.0,1.0,5220.0,77.0136730889
2420.0,0.470588235294,3060.0,71.4701431759
2440.0,0.444444444444,3240.0,72.6104444479
2460.0,0.6,3600.0,68.7812061846
2480.0,0.473684210526,3420.0,70.3930053235
2500.0,0.333333333333,3240.0,72.0291379334
2520.0,0.529411764706,3060.0,68.6622462038
2540.0,0.473684210526,3420.0,66.4153893377
2560.0,0.590909090909,3960.0,73.0386582289
2580.0,0.352941176471,3060.0,71.3018470983
2600.0,0.5,3240.0,68.3215351668
2620.0,0.6,3600.0,66.6592790038
2640.0,0.444444444444,3240.0,70.7486930045
2660.0,0.555555555556,3240.0,64.1622734171
2680.0,0.526315789474,3420.0,65.6927460869
2700.0,0.5,3240.0,70.3826476859
2720.0,0.444444444444,3240.0,70.5829697127
2740.0,0.619047619048,3780.0,73.4735809288
2760.0,0.578947368421,3420.0,71.7923219099
2780.0,0.65,3600.0,71.0764812929
2800.0,0.6,3600.0,68.72791377
2820.0,0.526315789474,3420.0,68.4475993433
2840.0,0.529411764706,3060.0,66.0587213243
2860.0,0.545454545455,3960.0,73.6651001145
2880.0,0.578947368421,3420.0,71.8485562007
2900.0,0.555555555556,3240.0,65.9896186131
2920.0,0.631578947368,3420.0,68.9655416288
2940.0,0.578947368421,3420.0,64.7633516566
2960.0,0.6,3600.0,71.006147235
2980.0,0.631578947368,3420.0,70.8327483452
3000.0,0.6,3600.0,71.948421402
3020.0,0.695652173913,4140.0,73.8269007591
3040.0,0.708333333333,4320.0,74.6116642057
3060.0,0.714285714286,3780.0,72.0661171864
3080.0,0.681818181818,3960.0,73.8813876623
3100.0,0.739130434783,4140.0,76.453728921
3120.0,0.727272727273,3960.0,72.6797961633
3140.0,0.636363636364,3960.0,70.5176726552
3160.0,0.708333333333,4320.0,73.2251894686
3180.0,0.681818181818,3960.0,73.349046486
3200.0,0.695652173913,4140.0,70.0052325455
3220.0,0.681818181818,3960.0,73.5589997399
3240.0,0.727272727273,3960.0,72.3918292535
3260.0,0.681818181818,3960.0,70.47901826
3280.0,0.714285714286,3780.0,72.9095185689
3300.0,0.739130434783,4140.0,71.538103949
3320.0,0.368421052632,3420.0,69.8397063493
3340.0,0.235294117647,3060.0,68.6779790699
3360.0,0.277777777778,3240.0,68.1293083643
3380.0,0.35,3600.0,72.362665815
3400.0,0.3125,2880.0,67.0736643013
3420.0,0.5,3600.0,72.1540602961
3440.0,0.25,2880.0,67.4674180395
3460.0,0.333333333333,3240.0,73.1160762993
3480.0,0.277777777778,3240.0,70.7405993614
3500.0,0.368421052632,3420.0,68.8069820573
3520.0,0.333333333333,3240.0,65.4707640486
3540.0,0.25,2880.0,70.0664107159
3560.0,0.352941176471,3060.0,68.5644351322
3580.0,0.428571428571,3780.0,66.6283487279
3600.0,0.368421052632,3420.0,73.0258788285
